vehicle_id,brand,model,battery_capacity_kWh,range_km,charging_type,price_in_lakh,manufacture_year,city,customer_age,rating_out_of_5
1,MG,Model X,100,359,Home,142.06,2018,Pune,67,2.1
2,Hyundai,Leaf,77,123,Home,59.43,2021,Ahmedabad,61,2.7
3,Mercedes,EQC,43,225,Home,15.57,2017,Surat,66,2.1
4,Tata,Taycan,50,159,Fast,111.89,2022,Pune,34,4.2
5,MG,Leaf,118,382,Public,138.72,2016,Mumbai,53,2.8
6,Porsche,Taycan,60,398,Supercharger,57.66,2018,Delhi,27,2.9
7,BMW,Model S,87,463,Public,71.28,2020,Delhi,41,4.4
8,MG,EQC,103,598,Home,142.96,2020,Pune,36,4
9,Mercedes,ZS EV,100,283,Public,113.47,2018,Jaipur,18,4.9
10,Tata,Taycan,65,521,Supercharger,102.02,2019,Surat,19,4.3
11,Hyundai,EQC,29,604,Public,23.63,2020,Delhi,56,3.9
12,Mercedes,Leaf,56,472,Home,89.29,2023,Pune,24,2.2
13,Mercedes,Model 3,40,201,Home,129.71,2022,Kolkata,28,4.5
14,BMW,ZS EV,40,384,Supercharger,110.35,2019,Chennai,21,3.3
15,Kia,Leaf,99,161,Slow,21.84,2021,Kolkata,31,4.3
16,Tata,Leaf,116,318,Public,102.34,2016,Pune,44,2.4
17,Nissan,e-tron,29,502,Home,121.7,2024,Surat,59,3.4
18,Mercedes,Kona,101,326,Public,60.34,2015,Pune,31,4.5
19,Kia,EV6,116,229,Supercharger,114.34,2023,Bangalore,24,3
20,Nissan,i3,112,549,Fast,108.28,2024,Bangalore,22,2.3
21,Tata,Taycan,114,191,Fast,53.21,2015,Mumbai,56,4.9
22,Tesla,EV6,43,527,Home,112.63,2016,Jaipur,31,3.4
23,Porsche,Model S,31,398,Supercharger,97.75,2017,Mumbai,24,4.7
24,Kia,Leaf,39,226,Supercharger,50.24,2022,Chennai,20,3.6
25,Audi,Model S,89,558,Public,82.74,2020,Ahmedabad,60,2.6
26,Tesla,Model X,27,170,Home,71.25,2020,Chennai,53,3.3
27,Porsche,e-tron,97,242,Fast,12.33,2021,Surat,44,4.6
28,BMW,Nexon,24,550,Supercharger,104.03,2023,Pune,68,3.1
29,MG,Model S,73,443,Supercharger,24.77,2018,Kolkata,41,4
30,Hyundai,i3,55,494,Fast,40.13,2022,Chennai,53,4.1
31,Audi,Model S,57,540,Public,143.95,2018,Jaipur,64,3.3
32,BMW,Kona,22,495,Public,38.46,2018,Mumbai,67,4
33,Tata,ZS EV,55,228,Public,61.82,2021,Kolkata,27,3.9
34,BMW,Model X,41,610,Public,144.19,2018,Pune,59,4.1
35,MG,e-tron,27,342,Home,113.79,2021,Pune,33,3.1
36,Tata,e-tron,80,138,Public,103.68,2018,Bangalore,69,3.5
37,Audi,Taycan,97,336,Public,124.02,2021,Jaipur,19,3.3
38,MG,Kona,26,352,Home,13.61,2020,Mumbai,26,2
39,Nissan,Leaf,87,529,Supercharger,133.64,2021,Ahmedabad,43,3.4
40,Hyundai,Kona,81,631,Slow,41.57,2015,Hyderabad,29,2.5
41,Audi,Model 3,38,309,Public,27.27,2022,Hyderabad,21,4.9
42,Nissan,Leaf,66,425,Slow,125.28,2015,Bangalore,43,3.1
43,Porsche,Nexon,43,572,Fast,45.66,2018,Bangalore,45,3.2
44,Audi,e-tron,99,226,Slow,39.59,2023,Kolkata,18,2.4
45,Porsche,Kona,25,344,Fast,119.68,2024,Mumbai,56,4.5
46,Tata,ZS EV,27,505,Slow,13.08,2020,Mumbai,60,4.8
47,Nissan,e-tron,44,649,Public,16.04,2017,Mumbai,53,3.5
48,Hyundai,Nexon,115,179,Slow,122.88,2015,Jaipur,48,2.3
49,MG,Model S,108,491,Supercharger,65.74,2020,Kolkata,31,2.1
50,Mercedes,Kona,93,261,Slow,127.72,2015,Delhi,48,2.6
51,BMW,e-tron,60,237,Fast,119.46,2017,Kolkata,53,3.2
52,Tesla,Model X,77,311,Supercharger,85.85,2022,Ahmedabad,30,2.6
53,Hyundai,EV6,100,405,Slow,113.69,2019,Hyderabad,54,2.3
54,Nissan,Model S,79,138,Fast,25.76,2018,Kolkata,55,4.1
55,Mercedes,EQC,22,235,Fast,32.61,2024,Kolkata,28,3.7
56,Hyundai,Model 3,28,159,Public,127.18,2017,Jaipur,60,2
57,Nissan,Model X,71,384,Fast,54.48,2024,Chennai,64,3.5
58,Kia,Model X,77,240,Supercharger,5.72,2024,Bangalore,56,4.7
59,Kia,Nexon,79,483,Home,143.24,2024,Surat,25,4.5
60,Porsche,EV6,101,324,Fast,108.21,2020,Delhi,58,2.5
61,Hyundai,ZS EV,68,605,Supercharger,127.58,2018,Ahmedabad,46,2.5
62,Kia,Nexon,113,214,Home,137.35,2021,Chennai,46,4.1
63,Nissan,EV6,24,518,Slow,96.53,2022,Jaipur,19,3.6
64,Porsche,e-tron,81,449,Fast,77.95,2022,Ahmedabad,27,2.2
65,Nissan,Kona,51,429,Public,26.87,2020,Bangalore,36,3.2
66,Porsche,Model 3,46,336,Slow,32.34,2019,Pune,56,4.6
67,Hyundai,Model S,104,287,Public,70.34,2021,Mumbai,29,4.3
68,Mercedes,Model X,43,228,Supercharger,14.67,2023,Ahmedabad,66,4.1
69,MG,ZS EV,57,318,Supercharger,119.08,2024,Chennai,25,2.9
70,Audi,Nexon,86,521,Home,85.97,2022,Hyderabad,24,4
71,Mercedes,Model 3,35,291,Public,139.28,2019,Jaipur,65,4.1
72,Tata,Model S,34,303,Supercharger,95.59,2017,Chennai,30,4.1
73,Nissan,Model 3,44,136,Public,145.97,2021,Ahmedabad,67,2.1
74,Tata,Model X,91,275,Supercharger,45.42,2021,Pune,52,4.2
75,Mercedes,Kona,23,140,Public,55.74,2022,Hyderabad,19,2.9
76,Porsche,Taycan,51,540,Home,66.38,2024,Kolkata,60,4.7
77,Audi,ZS EV,64,270,Slow,47.82,2020,Mumbai,20,4.8
78,Audi,EV6,75,230,Fast,120.37,2021,Delhi,55,2.8
79,Tesla,EQC,54,434,Supercharger,82.36,2016,Surat,49,2.5
80,Audi,ZS EV,72,577,Public,70.99,2024,Hyderabad,60,4.1
81,MG,e-tron,49,171,Supercharger,71.17,2016,Hyderabad,29,2.1
82,Audi,e-tron,68,392,Supercharger,123.09,2020,Chennai,61,4.5
83,Mercedes,EV6,113,504,Fast,39.95,2015,Jaipur,31,4.2
84,Tesla,Nexon,100,207,Home,51.53,2021,Hyderabad,35,3
85,Mercedes,Kona,102,139,Fast,139.79,2020,Mumbai,41,3.4
86,Mercedes,EV6,71,550,Slow,62.6,2017,Mumbai,36,4.9
87,BMW,Kona,114,289,Slow,149.37,2022,Mumbai,52,4.8
88,Tesla,Model 3,100,225,Slow,68.42,2015,Jaipur,57,3.5
89,Mercedes,ZS EV,21,446,Slow,66.27,2018,Kolkata,34,4.5
90,BMW,ZS EV,78,338,Slow,91.05,2022,Jaipur,37,2.3
91,BMW,Model X,56,384,Public,127.77,2023,Surat,58,2.5
92,Tesla,ZS EV,48,441,Supercharger,109.3,2016,Bangalore,44,3.5
93,Tata,Model 3,49,435,Public,115.44,2020,Mumbai,22,3.9
94,Porsche,Taycan,41,227,Public,146.65,2022,Jaipur,51,3.7
95,MG,Model X,94,628,Fast,120.47,2017,Delhi,54,2.5
96,Porsche,Kona,116,646,Fast,72.75,2022,Bangalore,61,4.9
97,Audi,Leaf,38,357,Public,100.22,2022,Ahmedabad,29,4.5
98,MG,EV6,86,128,Slow,125.42,2017,Pune,65,3.7
99,Audi,Model S,105,455,Home,29.57,2018,Delhi,53,2.4
100,Mercedes,Kona,37,441,Supercharger,55.4,2017,Mumbai,34,4.8
101,Nissan,Model 3,113,120,Slow,92.69,2017,Jaipur,56,3.7
102,Tesla,Kona,84,240,Fast,60.11,2019,Kolkata,64,2.8
103,MG,Model S,103,128,Public,12.84,2021,Mumbai,52,3.4
104,MG,Model 3,24,432,Fast,141.35,2016,Chennai,21,2.8
105,Mercedes,ZS EV,95,303,Supercharger,83.28,2017,Pune,43,2.5
106,Tata,Kona,30,357,Public,97.03,2023,Hyderabad,34,3.9
107,BMW,EV6,107,449,Home,109.32,2017,Delhi,33,2.5
108,Mercedes,Nexon,77,590,Public,10.27,2020,Kolkata,47,2.7
109,Kia,ZS EV,37,138,Fast,31.36,2020,Delhi,26,3
110,BMW,ZS EV,91,137,Slow,136.01,2019,Kolkata,37,4.7
111,Tesla,e-tron,112,399,Fast,119.15,2020,Bangalore,66,4.7
112,BMW,Leaf,75,246,Supercharger,14.58,2016,Chennai,18,2.8
113,Tata,Nexon,41,427,Home,119.21,2021,Pune,61,2.7
114,BMW,i3,75,333,Supercharger,135.47,2018,Ahmedabad,24,4.1
115,Tesla,Nexon,85,395,Supercharger,29.22,2019,Ahmedabad,21,3.7
116,Tata,Leaf,42,448,Slow,14.08,2020,Mumbai,21,3.8
117,Porsche,Taycan,35,135,Fast,130.14,2018,Mumbai,42,4.9
118,MG,EQC,63,556,Slow,92.11,2023,Mumbai,60,4.6
119,MG,e-tron,91,125,Slow,148.55,2020,Surat,42,3.4
120,Audi,e-tron,87,400,Public,107.26,2018,Kolkata,66,4.2
121,Porsche,Model S,33,134,Fast,79.11,2021,Mumbai,44,3.8
122,Porsche,Leaf,28,429,Public,40.61,2021,Delhi,42,4.8
123,BMW,EQC,94,585,Fast,106.47,2018,Hyderabad,36,3.1
124,MG,Model X,35,546,Slow,16.15,2015,Surat,58,4
125,Tesla,ZS EV,32,600,Home,65.27,2019,Surat,21,3.6
126,Hyundai,i3,55,645,Public,55.27,2018,Hyderabad,43,4
127,Hyundai,Leaf,63,505,Fast,92.42,2016,Jaipur,38,2.1
128,Tata,EV6,119,391,Public,37.18,2023,Jaipur,33,3.6
129,MG,i3,100,314,Fast,28.62,2024,Jaipur,29,3.9
130,MG,Model X,33,357,Public,26.69,2019,Bangalore,64,4.7
131,Hyundai,Model 3,112,590,Home,50.03,2016,Chennai,48,4.4
132,MG,EV6,36,222,Fast,130.2,2017,Ahmedabad,19,3.9
133,BMW,Taycan,84,362,Home,62.6,2024,Kolkata,38,4.4
134,Kia,Model 3,103,334,Home,134.24,2016,Delhi,48,3.8
135,Nissan,EV6,116,196,Home,113.37,2016,Chennai,22,3.8
136,Porsche,i3,73,503,Public,108.73,2015,Bangalore,46,3
137,Audi,EV6,21,240,Supercharger,116.36,2017,Hyderabad,35,3.5
138,Tata,i3,36,264,Slow,78.05,2016,Surat,37,2.4
139,Kia,Model S,42,212,Supercharger,44.01,2024,Bangalore,54,3.5
140,Hyundai,Taycan,105,604,Supercharger,30.9,2020,Chennai,55,3.1
141,Porsche,e-tron,20,624,Public,77.05,2024,Pune,68,2.8
142,MG,e-tron,31,441,Supercharger,59.46,2020,Kolkata,40,4.3
143,Audi,Model 3,32,194,Supercharger,100.39,2018,Jaipur,47,3.2
144,MG,Kona,97,582,Public,55.62,2022,Kolkata,42,3.8
145,Tesla,Model X,93,270,Slow,13.29,2021,Mumbai,29,2.9
146,Tesla,EV6,31,254,Slow,59.99,2016,Delhi,39,3.3
147,Audi,i3,76,309,Supercharger,133.25,2015,Jaipur,43,2.7
148,Audi,Model X,105,153,Slow,107.42,2019,Mumbai,60,3.4
149,Hyundai,Taycan,37,477,Public,60.97,2019,Kolkata,40,4
150,Audi,EQC,102,224,Home,35.52,2020,Chennai,65,3.2
151,BMW,Nexon,113,488,Fast,87.1,2017,Chennai,66,3.4
152,MG,EV6,34,291,Public,140.61,2016,Chennai,36,3.2
153,Kia,Leaf,58,189,Slow,89.12,2018,Chennai,23,3.7
154,Mercedes,e-tron,97,558,Supercharger,133.96,2022,Jaipur,48,3.1
155,Audi,ZS EV,92,441,Slow,107.32,2015,Jaipur,40,2.2
156,Tata,Kona,88,239,Supercharger,22.43,2021,Surat,45,4.3
157,Tesla,Model S,52,230,Fast,106.92,2016,Hyderabad,52,2.8
158,BMW,i3,67,375,Home,92.9,2017,Pune,36,3.8
159,Porsche,i3,24,541,Home,57.27,2016,Pune,55,4.5
160,Mercedes,Nexon,107,275,Public,143.26,2017,Mumbai,64,4.1
161,Kia,Nexon,27,304,Fast,52.81,2017,Jaipur,51,3
162,Mercedes,Kona,38,356,Public,17.21,2019,Hyderabad,68,3.6
163,Audi,EV6,71,564,Fast,40.91,2019,Mumbai,53,3.4
164,Hyundai,Model 3,31,622,Fast,68.27,2017,Chennai,20,2.4
165,Tesla,Nexon,91,444,Home,134.03,2021,Ahmedabad,68,3
166,Tesla,EQC,27,496,Fast,9.16,2020,Ahmedabad,19,3.2
167,Porsche,Nexon,74,622,Fast,120.62,2023,Mumbai,62,2.3
168,Hyundai,Leaf,103,576,Slow,45.13,2018,Bangalore,61,2.5
169,MG,Taycan,112,526,Fast,92.36,2015,Delhi,63,3.5
170,Nissan,EQC,53,207,Home,59.89,2024,Hyderabad,55,4.7
171,BMW,Model 3,101,224,Home,43.25,2021,Surat,54,4
172,Tesla,Leaf,84,577,Home,78.58,2020,Hyderabad,23,3.9
173,Tata,Leaf,94,376,Supercharger,59.3,2019,Chennai,44,3.2
174,Tesla,Taycan,66,253,Public,62.02,2018,Jaipur,19,3.4
175,Mercedes,Taycan,54,605,Fast,28.35,2019,Bangalore,51,2.6
176,Tesla,Kona,51,404,Supercharger,25.61,2020,Ahmedabad,30,4.9
177,Tesla,Nexon,70,506,Home,42.87,2019,Surat,62,4.3
178,Nissan,Model X,99,463,Home,90.32,2015,Chennai,45,2.2
179,Nissan,EQC,25,545,Home,38.79,2024,Surat,40,2.6
180,Kia,Model S,28,256,Fast,117.13,2017,Kolkata,39,3.8
181,MG,Model X,59,413,Supercharger,123.12,2018,Bangalore,20,4.9
182,Tata,ZS EV,105,161,Supercharger,28.42,2016,Pune,58,3.6
183,Tesla,Model S,67,169,Slow,146.53,2021,Delhi,36,4.7
184,Tesla,EV6,91,292,Public,43.63,2015,Kolkata,59,3.1
185,BMW,Model 3,115,408,Home,15.55,2023,Bangalore,30,2.8
186,Nissan,Kona,45,281,Slow,68.57,2021,Chennai,44,4.9
187,Tata,Model X,101,459,Fast,31.33,2024,Chennai,27,2.5
188,Porsche,Nexon,56,442,Slow,118.74,2022,Pune,29,4.2
189,Kia,Model 3,71,445,Home,21.67,2018,Jaipur,60,3.3
190,MG,Leaf,31,286,Slow,75.12,2020,Hyderabad,58,2.5
191,Hyundai,EQC,57,286,Home,17.13,2023,Jaipur,66,3.2
192,MG,ZS EV,117,488,Slow,135.31,2019,Pune,30,4.9
193,Mercedes,Kona,87,204,Home,49.75,2019,Delhi,38,2.7
194,Tesla,Leaf,35,234,Supercharger,94.43,2020,Pune,34,4.9
195,Kia,Model 3,80,169,Slow,110.77,2022,Kolkata,62,4.6
196,Mercedes,EQC,43,577,Supercharger,9.65,2018,Chennai,19,3.4
197,Tata,ZS EV,97,491,Public,60.32,2018,Surat,36,3.8
198,Hyundai,Leaf,36,337,Public,46.07,2019,Delhi,57,2.4
199,Nissan,ZS EV,114,378,Public,84.18,2022,Mumbai,23,4.6
200,Kia,Model 3,23,489,Slow,116.79,2022,Kolkata,51,2.7
201,Kia,Nexon,69,215,Public,23.94,2018,Kolkata,19,3.4
202,Tesla,e-tron,117,594,Supercharger,73.9,2018,Kolkata,19,4.8
203,Audi,e-tron,22,344,Supercharger,23.9,2022,Mumbai,41,2.4
204,Kia,i3,27,460,Public,119.55,2024,Surat,40,4.9
205,BMW,EV6,31,546,Public,118.83,2019,Chennai,38,3.5
206,Hyundai,e-tron,54,603,Fast,52.95,2016,Surat,35,3.8
207,Hyundai,EV6,85,403,Fast,52.57,2020,Pune,43,4.7
208,BMW,Leaf,72,467,Slow,91.89,2017,Jaipur,34,2.2
209,Porsche,Leaf,112,460,Fast,149.61,2019,Hyderabad,57,3.9
210,BMW,EV6,106,493,Supercharger,147.18,2022,Jaipur,68,3.3
211,BMW,Model X,52,532,Supercharger,50.77,2016,Chennai,67,2.4
212,Hyundai,Nexon,37,537,Slow,125.29,2015,Ahmedabad,69,3.4
213,MG,EV6,77,401,Slow,50.74,2015,Chennai,37,2.4
214,Hyundai,EV6,105,362,Home,79.16,2015,Hyderabad,56,3.3
215,Audi,e-tron,97,318,Fast,9.6,2020,Surat,69,2
216,Tesla,EQC,112,550,Home,141.36,2021,Kolkata,44,4.6
217,Mercedes,Leaf,64,604,Public,111.54,2020,Pune,31,3.6
218,MG,ZS EV,34,346,Supercharger,130.48,2018,Chennai,52,4.9
219,Nissan,EQC,34,315,Slow,85.9,2016,Kolkata,38,3.2
220,Mercedes,Leaf,64,347,Public,14.49,2022,Kolkata,34,4.8
221,Tesla,EV6,87,186,Home,68.68,2023,Bangalore,32,3.6
222,Audi,Kona,119,444,Public,58.27,2017,Surat,63,2
223,Audi,i3,88,457,Public,79.72,2019,Mumbai,69,3.7
224,Nissan,Leaf,86,646,Slow,35.48,2022,Surat,48,3.1
225,MG,i3,95,233,Fast,70.49,2021,Ahmedabad,22,4.8
226,Porsche,e-tron,81,223,Slow,9.27,2019,Ahmedabad,22,4.6
227,BMW,Model S,103,547,Slow,26.62,2016,Bangalore,41,3.9
228,MG,Nexon,63,622,Fast,131.36,2020,Kolkata,66,3.2
229,Porsche,EV6,39,426,Fast,59.8,2015,Jaipur,51,4.7
230,Audi,Taycan,58,312,Slow,67.21,2021,Jaipur,40,2.5
231,Hyundai,ZS EV,58,333,Fast,56.8,2023,Chennai,23,2.2
232,Tesla,Model X,20,264,Supercharger,95,2019,Pune,67,3.7
233,Nissan,ZS EV,86,177,Public,5.72,2022,Surat,63,3.5
234,Tesla,EQC,66,242,Public,142.52,2015,Hyderabad,60,4.7
235,Tata,i3,92,354,Home,85.36,2018,Jaipur,42,2.7
236,Tata,EQC,73,610,Slow,60.24,2016,Hyderabad,63,2.2
237,MG,Kona,39,194,Public,130.18,2023,Surat,41,4
238,Audi,Model S,28,414,Public,77.01,2017,Jaipur,37,2.3
239,Audi,ZS EV,114,619,Public,18.47,2024,Kolkata,19,3.3
240,BMW,ZS EV,47,237,Fast,137.36,2017,Hyderabad,55,4.2
241,BMW,Kona,83,463,Fast,61.06,2015,Mumbai,35,4.7
242,BMW,EV6,54,278,Public,87.93,2020,Jaipur,44,3.9
243,Hyundai,Leaf,59,166,Supercharger,141.94,2020,Kolkata,32,2.1
244,Mercedes,i3,21,482,Fast,47.79,2024,Bangalore,69,2.9
245,Kia,i3,22,452,Public,30.81,2024,Ahmedabad,26,2.2
246,Mercedes,Nexon,33,499,Home,130.48,2017,Jaipur,37,2
247,Tesla,Nexon,100,243,Public,80.69,2022,Bangalore,57,5
248,Mercedes,Nexon,118,283,Slow,105.8,2019,Jaipur,61,2.4
249,Hyundai,i3,87,289,Public,21.04,2021,Delhi,56,4
250,Tesla,Leaf,66,266,Slow,105.95,2024,Surat,39,2.8
